Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Chad,5.82,14.68,9.35,6.61,5.99,8.72,8.55,15.06,7.95,5.95,8.96,10.75,4.37,11.82,101.71,129.27,113.96,193.03,250.34,332.80,283.50,257.98
Chile,0.07,1.88,0.69,0.48,0.68,4.60,1.74,2.28,2.35,1.81,0.56,1.17,1.42,1.78,2.60,2.08,1.95,0.87,0.79,1.15,51.30,6.36
China,11.46,35.82,39.17,33.59,33.01,31.89,39.57,38.19,47.05,61.45,16.95,27.89,37.85,58.15,17.24,19.14,2.40,5.14,109.79,17.46,28.00,18.15
Chinese Taipei,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Colombia,1.15,2.94,6.94,1.68,5.89,14.55,15.63,20.74,29.92,45.98,37.01,50.43,61.39,61.45,49.47,100.08,108.31,116.58,86.12,102.72,93.07,89.57
Comoros,0.67,1.03,1.88,1.99,-0.03,1.63,0.00,1.07,1.50,1.41,2.17,2.84,0.54,0.03,0.03,0.76,0.79,0.11,0.98,0.46,0.88,0.02
"Congo, Dem. Rep.",7.42,13.49,19.41,16.77,161.03,61.86,67.94,80.26,50.88,55.08,104.20,199.14,276.41,272.20,302.82,323.80,467.94,441.83,558.69,599.99,482.74,443.08
"Congo, Rep.",1.48,2.22,2.17,1.30,1.49,0.57,1.08,7.08,5.78,36.18,16.96,29.45,29.11,21.37,19.64,16.30,8.71,9.53,6.12,12.06,22.71,9.21
Cook Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.00,0.00,0.00,0.00,0.10,0.00,1.79,0.14,0.13,0.41,0.10,3.60,4.89
Costa Rica,9.53,10.16,11.20,7.30,4.26,6.10,4.51,2.24,1.21,1.26,0.80,2.23,2.95,2.49,2.37,2.15,1.26,2.41,4.85,2.27,1.64,1.07
Cote d'Ivoire,13.36,21.42,18.08,22.23,14.75,20.53,23.16,26.04,16.75,16.11,14.29,15.72,18.66,49.34,65.26,56.92,76.58,64.77,106.37,31.38,20.33,134.53
Croatia,0.00,0.00,0.00,0.00,88.65,30.16,35.33,47.98,38.45,7.06,38.34,57.75,31.77,15.23,9.17,11.77,6.00,3.08,2.23,1.30,0.78,0.00
Cuba,7.33,14.18,7.77,11.56,4.78,28.77,14.22,40.20,38.20,28.98,16.44,19.88,13.75,9.09,11.20,15.25,9.02,4.16,30.25,14.68,7.45,1.31
Cyprus,20.27,15.68,15.67,15.34,18.80,6.47,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Djibouti,2.02,8.91,5.59,11.55,8.58,9.63,3.89,7.32,5.60,8.53,6.81,6.33,9.93,10.57,6.76,7.71,18.71,13.48,20.13,14.37,20.44,38.05
Dominica,0.00,0.31,0.24,0.27,0.00,1.97,0.00,0.00,0.00,0.48,0.08,0.15,0.04,0.00,0.20,0.08,0.04,0.08,0.05,0.12,0.02,0.56
Dominican Republic,0.11,0.31,1.47,2.17,2.02,2.50,3.28,5.19,12.12,17.37,1.78,22.30,1.12,1.55,6.43,0.71,6.60,13.05,24.43,5.98,6.23,11.32
Ecuador,4.37,9.69,4.60,1.11,0.66,6.64,4.99,6.24,12.18,6.44,6.22,8.34,11.58,7.09,3.78,2.35,4.97,3.50,15.27,13.17,8.50,11.40
Egypt,6.77,16.05,16.44,15.41,19.69,17.86,6.81,13.85,12.26,10.82,18.04,6.09,9.41,9.39,6.71,6.77,7.50,2.82,2.18,4.68,7.91,26.23
El Salvador,5.87,16.16,23.79,10.39,3.87,19.17,11.52,16.29,20.98,9.19,9.94,89.11,12.96,7.32,28.54,57.19,15.89,12.41,6.36,21.32,28.48,12.87
Equatorial Guinea,1.46,2.42,1.73,3.41,-0.03,2.45,0.11,0.00,0.00,0.00,0.02,0.00,0.00,1.45,0.01,0.03,0.00,0.00,1.87,0.99,0.00,0.02
Eritrea,0.00,0.00,0.00,18.35,41.14,55.32,18.40,15.54,10.53,29.52,77.86,65.94,92.93,187.66,129.21,198.19,48.16,31.51,26.91,34.23,22.89,12.06
Ethiopia,170.45,408.34,239.42,174.40,54.00,153.25,96.42,106.66,97.48,119.69,246.56,226.42,249.78,841.66,465.43,686.01,366.59,313.06,855.66,715.03,657.29,632.28
