Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Somalia,30.23,23.84,87.42,134.32,36.42,144.17,51.42,54.58,46.56,73.44,91.74,107.03,144.68,152.70,167.91,205.08,339.57,288.53,579.06,556.74,253.43,752.45
South Africa,0.00,0.00,0.00,2.98,8.77,2.53,7.04,5.52,5.28,7.16,7.26,7.97,7.46,6.27,4.39,2.90,2.21,2.95,7.63,7.30,6.86,19.32
South Sudan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,477.35
Sri Lanka,5.58,4.14,12.23,11.26,14.33,31.07,36.10,25.76,35.95,32.99,51.13,44.55,53.43,43.48,52.89,427.19,162.62,224.43,257.55,254.66,214.62,127.35
St. Helena,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.86,0.00,0.00,0.00,0.00,0.13,0.04,0.04,0.09,0.00,0.00,4.19,0.78,0.00
St. Kitts-Nevis,0.00,0.03,0.47,0.18,0.00,0.02,0.77,0.00,0.23,0.04,0.00,0.00,0.00,0.02,0.00,0.10,0.01,0.00,0.00,0.12,0.00,0.22
St. Lucia,0.00,0.00,0.00,0.00,0.00,0.71,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.07,0.02,0.12,0.34,2.47
St.Vincent & Grenadines,0.03,0.03,0.64,0.38,0.00,0.00,0.00,0.00,0.00,1.89,0.00,0.00,0.00,0.00,0.36,0.15,0.01,0.00,0.00,0.27,0.19,0.27
States Ex-Yugoslavia,4.87,8.56,473.62,"1,045.03",295.18,531.25,532.61,40.08,66.50,561.94,311.20,147.02,163.30,43.20,8.09,14.44,0.91,3.47,0.04,0.00,0.00,0.00
Sudan,72.17,188.97,130.96,133.70,152.46,141.92,135.63,125.86,217.56,244.62,141.91,185.24,278.25,381.74,897.31,"1,452.72","1,449.63","1,380.21","1,442.76","1,374.64",960.33,543.52
Suriname,0.15,0.33,1.96,0.94,0.00,0.00,0.10,0.43,0.05,0.00,0.00,0.15,0.00,0.06,0.05,0.06,4.06,0.57,0.51,0.00,0.01,0.13
Swaziland,4.08,4.80,11.80,11.96,4.72,3.56,2.81,0.92,0.69,0.65,0.49,0.41,2.73,2.68,1.81,5.61,0.60,9.18,2.42,3.90,2.68,3.80
Syria,12.91,16.59,64.82,56.00,50.12,55.50,37.89,55.92,50.00,44.61,50.23,51.09,53.70,50.54,48.10,44.78,38.07,43.15,94.83,98.93,128.21,109.64
Tajikistan,0.00,0.00,0.00,3.89,7.14,35.26,49.02,44.28,39.04,52.50,42.97,51.71,69.11,42.66,30.09,21.56,22.58,12.25,32.41,20.91,22.87,9.86
Tanzania,6.43,9.58,7.92,16.69,123.30,32.08,10.74,19.86,17.59,38.85,95.26,122.18,116.18,131.24,78.73,59.65,70.57,61.77,59.19,54.86,36.24,46.68
Thailand,51.44,80.94,64.49,33.98,21.42,21.97,18.67,19.90,24.06,19.96,23.80,29.94,32.50,28.11,22.34,58.58,40.09,55.70,47.26,36.73,53.54,71.07
Timor-Leste,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,138.10,185.45,32.21,34.65,9.78,3.66,5.10,32.87,20.34,13.14,5.55,27.57,7.50
Togo,1.40,1.09,1.71,0.68,2.04,2.27,3.84,2.84,2.68,1.66,1.16,2.22,2.68,2.94,1.75,4.76,1.22,7.92,7.06,1.48,5.02,2.87
Tokelau,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,1.00,0.00,0.00,0.00,0.00,0.00,0.13
Tonga,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.06,0.31,0.00,0.00,0.73,0.00,0.01,0.09,0.54,-0.04,0.12,2.24,1.05,0.23
Trinidad and Tobago,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.00,0.02,0.27,0.09,0.00
Tunisia,7.66,3.89,3.17,4.60,4.45,4.87,4.79,6.83,1.78,0.93,0.64,0.73,0.74,0.99,0.95,1.70,0.53,0.48,0.40,1.00,1.15,38.20
Turkey,4.67,15.36,16.11,9.51,5.99,13.15,64.96,46.71,32.79,95.22,70.23,42.30,40.05,38.37,32.49,25.39,9.82,12.21,12.45,26.04,34.11,47.71
Turkmenistan,0.00,0.00,0.00,0.00,0.00,0.08,0.00,1.07,0.29,0.33,1.37,3.66,1.74,1.34,1.50,0.84,0.55,0.67,0.83,0.21,0.53,0.48
Turks and Caicos Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.59,0.00,0.00,0.00,0.00
Tuvalu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.07,0.65,2.10,11.03
Uganda,13.26,26.28,20.97,32.81,45.73,56.78,60.19,82.82,72.99,58.34,39.17,63.21,85.99,153.89,175.28,191.34,243.17,239.86,245.38,159.40,85.08,55.84
Ukraine,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.02,2.21,2.15,2.80,2.30,1.74,4.62
United Arab Emirates,0.03,0.06,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Uruguay,0.11,0.19,0.19,0.15,0.13,0.15,0.21,0.23,0.67,0.10,0.17,0.05,0.00,0.04,0.08,0.13,0.10,0.35,0.00,0.42,0.52,0.11
Uzbekistan,0.00,0.00,0.00,0.00,0.00,0.94,1.86,0.68,0.76,0.64,1.80,5.58,7.99,4.90,3.69,2.69,0.98,0.94,0.96,0.92,6.06,1.49
Vanuatu,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.25,0.89,0.37,0.34,0.44,0.09,0.34,0.23,0.06,0.03,0.11,0.28,3.96,1.98
Venezuela,0.08,0.39,1.09,1.35,1.36,1.77,1.69,2.92,2.55,4.84,32.22,5.56,3.81,2.50,5.90,16.84,11.08,14.25,2.46,2.68,2.51,4.46
Vietnam,19.43,32.79,36.82,42.80,35.54,25.00,23.42,29.55,23.39,19.29,27.57,13.00,9.75,4.30,2.30,12.03,7.84,8.46,11.50,13.64,16.37,10.31
Virgin Islands (UK),0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Wallis & Futuna,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46
West Bank & Gaza Strip,0.00,0.00,0.00,126.75,262.60,257.25,209.40,302.45,382.74,247.92,294.91,390.33,506.41,497.47,597.95,349.97,608.63,634.85,574.37,"1,004.36",649.47,825.77
Yemen,12.28,18.40,23.17,17.70,7.43,12.20,9.22,12.19,8.78,13.80,19.18,14.31,12.92,17.99,12.36,16.15,12.96,15.95,34.69,72.64,110.13,168.04
Zambia,7.09,6.56,33.65,15.86,14.33,24.88,5.10,5.81,9.56,15.76,24.56,42.52,74.41,45.65,29.71,52.27,40.90,17.12,27.60,25.41,14.54,15.38
Zimbabwe,8.14,9.45,83.90,16.17,20.47,8.82,2.83,2.58,2.31,2.11,4.87,8.08,89.42,98.19,72.88,226.94,122.95,170.46,349.19,414.58,205.89,160.17
