"iso3","Population (2012)","Population living in urban areas (2010)","Annual average population growth rate (2012)","Number of people affected by natural disasters (2013)","Impact of natural disasters: population affected (average per year-million) (2013)","Poverty headcount ratio at US$1.25 a day (2011)","Under-5 mortality rate (2012)","Population using improved drinking-water sources (2011)","Human development index (HDI) (2011)","GDP growth (annual %) (2011)","Malnutrition prevalence, weight for age (% of children under 5) (2011)","Life expectancy at birth, total (years) (2011)","Physicians (per 1,000 people) (2011)","Mobile cellular subscriptions (per 100 people) (2011)","country_name","Humanitarian funding received (2011)","Total Population of Concern to UNHCR (2013)","Number of last 10 years experiencing active conflict (2013)"
"CIV",19839750,50.557,2.2932404076023,NA,NA,NA,107.6,80,0.426,-4.72876050862865,NA,50.0475609756098,NA,89.4496294318181,"Cote d'Ivoire",NA,NA,2
"CMR",21699631,51.512,2.53588457996996,NA,NA,NA,94.9,74,0.492,4.10210686579076,15.1000003814697,54.1373658536585,NA,49.5674001544317,"Cameroon","18.61","110,065",NA
"COG",4337051,63.223,2.6090396451141,NA,NA,NA,96,72,0.531,3.42062127144951,NA,57.7752195121951,NA,91.9390991392684,"Democratic Republic of the Congo",NA,NA,4
"COG",4337051,63.223,2.6090396451141,NA,NA,NA,96,72,0.531,3.42062127144951,NA,57.7752195121951,NA,91.9390991392684,"Congo",NA,NA,4
"COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"COM",717503,27.97,2.43882699360999,0,0,NA,77.6,NA,0.428,2.22720317087773,NA,60.4254878048781,NA,30.9101762884596,"Comoros",NA,NA,NA
"CPV",494401,61.833,0.78074870914616,NA,NA,NA,22.2,89,0.584,4.49401875688156,NA,74.2068292682927,NA,80.8121804646157,"Cabo Verde",NA,NA,NA
"DJI",859652,76.999,1.52449945936498,NA,NA,NA,80.9,92,0.442,NA,NA,60.8030731707317,NA,22.8016195670918,"Djibouti",NA,NA,NA
"DZA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"EGY",80721874,43.375,1.66061147301725,161,161,NA,21,99,0.661,1.76242458736475,NA,70.6785609756098,NA,105.079422775456,"Egypt",NA,NA,NA
